INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;UPYD;IU;EQUO;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28055;Estremera;1.508;932;713;76,50;429;238;19;11;0;448;249;62,83;34,92
28056;Fresnedillas de la Oliva;1.507;782;604;77,24;316;115;41;62;34;357;211;59,11;34,93
28057;Fresno de Torote;2.063;1.419;1.084;76,39;579;232;120;95;14;699;341;64,48;31,46
28058;Fuenlabrada;198.973;137.543;103.880;75,53;44.055;32.526;12.381;9.535;1.168;56.436;43.229;54,33;41,61
28059;Fuente el Saz de Jarama;6.320;4.061;3.169;78,03;1.806;735;276;190;33;2.082;958;65,70;30,23
28060;Fuentidueña de Tajo;2.095;1.471;1.205;81,92;450;499;68;148;5;518;652;42,99;54,11
28061;Galapagar;32.393;19.624;15.082;76,85;8.114;3.213;1.732;1.081;338;9.846;4.632;65,28;30,71
28062;Garganta de los Montes;386;311;233;74,92;149;30;25;13;5;174;48;74,68;20,60
28063;Gargantilla del Lozoya y Pinilla de Buitrago;393;268;209;77,99;109;40;16;21;9;125;70;59,81;33,49
28064;Gascones;163;143;112;78,32;70;15;14;5;3;84;23;75,00;20,54
28065;Getafe;169.130;118.796;93.292;78,53;39.047;29.410;9.796;9.999;1.543;48.843;40.952;52,35;43,90
