INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;VOX;CIUDADANOS;PODEMOS;UNIDAD POPULAR (IU);suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28053;Daganzo de Arriba;9.841;6.458;5.313;82,27;1.579;853;19;1.337;1.110;229;2.935;2.192;55,24;41,26
28054;El Escorial;15.244;11.166;8.674;77,68;3.026;1.287;113;1.721;1.782;430;4.860;3.499;56,03;40,34
28055;Estremera;1.410;899;682;75,86;313;198;1;69;64;18;383;280;56,16;41,06
28056;Fresnedillas de la Oliva;1.545;860;655;76,16;230;107;0;81;173;39;311;319;47,48;48,70
28057;Fresno de Torote;2.020;1.439;1.126;78,25;387;179;3;222;247;50;612;476;54,35;42,27
28058;Fuenlabrada;195.864;139.289;108.373;77,80;24.575;26.909;283;20.109;25.883;5.721;44.967;58.513;41,49;53,99
28059;Fuente el Saz de Jarama;6.409;4.312;3.256;75,51;1.187;563;17;674;559;150;1.878;1.272;57,68;39,07
28060;Fuentidueña de Tajo;2.026;1.509;1.197;79,32;263;501;3;108;218;50;374;769;31,24;64,24
28061;Galapagar;32.380;21.200;16.725;78,89;5.814;2.338;169;3.677;3.325;777;9.660;6.440;57,76;38,51
28062;Garganta de los Montes;382;308;244;79,22;98;23;1;57;46;10;156;79;63,93;32,38
