NATLEVNAME;INE_NUM;part_num;derecha_num;izquierda_num;densidad_2023;clase_densidad;dist_madrid_km;corona_madrid;renta_2023;Renta_2023_Final_ €;clase_renta
Municipio;28048;80,04;42,89;54;294.273.345.096.708;Muy baja;383.727.664.560.447;20-40 km;13602;13602;Muy baja
Municipio;28049;75,91;45,27;51;669.932.312.700.496;Muy alta;128.983.104.040.831;0-20 km;15265;15265;Baja
Municipio;28050;77,24;64,39;32;519.299.029.768.054;Intermedia;327.217.585.263.485;20-40 km;15046;15046;Baja
Municipio;28051;75,26;54,06;42;982.874.147.928.139;Baja;44.851.526.362.148;40-60 km;14037;14037;Baja
Municipio;28052;69,52;63,23;34;48.834.380.596.265;Muy baja;384.062.338.007.369;20-40 km;13062;13062;Muy baja
Municipio;28053;79,34;58,16;39;245.172.654.133.981;Intermedia;237.447.658.007.579;20-40 km;17623;17623;Media
Municipio;28054;76,27;58,06;39;241.360.553.351.788;Intermedia;362.868.986.914.961;20-40 km;17477;17477;Media
Municipio;28055;69,13;54,07;44;178.044.515.219.567;Muy baja;612.264.970.971.825;>60 km;12029;12029;Muy baja
Municipio;28056;74,56;41,97;56;629.371.371.332.199;Baja;412.878.772.853.226;40-60 km;12542;12542;Muy baja
Municipio;28057;73,04;59,83;37;769.093.269.840.511;Baja;290.940.442.672.531;20-40 km;15092;15092;Baja
Municipio;28058;73,27;44,5;52;48.341.793.792.643;Urbana;219.685.508.332.888;20-40 km;13454;13454;Muy baja
Municipio;28059;73,65;61,13;36;212.027.233.499.843;Intermedia;244.785.156.720.702;20-40 km;14563;14563;Baja
Municipio;28060;76,84;40,63;57;373.542.944.077.426;Muy baja;602.881.146.679.719;>60 km;12553;12553;Muy baja
Municipio;28061;75,79;57,53;40;534.077.297.056.155;Intermedia;273.660.520.861.246;20-40 km;17032;17032;Media
Municipio;28062;79,65;58,03;39;978.685.514.119.767;Muy baja;514.830.577.883.597;40-60 km;17957;17957;Media
Municipio;28063;75,73;55,98;41;149.214.442.778.413;Muy baja;556.618.454.747.391;40-60 km;15573;15573;Baja
Municipio;28064;82,58;59,38;36;105.095.383.593.098;Muy baja;633.103.186.690.829;>60 km;17107;17107;Media
Municipio;28065;75,4;44,15;53;232.983.301.766.773;Urbana;185.655.062.355.011;0-20 km;15867;15867;Baja
Municipio;28066;77,04;70,52;26;613.865.948.767.259;Intermedia;301.589.003.264.278;20-40 km;16818;16818;Baja
Municipio;28067;75,16;53,85;42;110.627.589.440.928;Baja;336.557.796.584.626;20-40 km;15394;15394;Baja
Municipio;28068;75,1;60,11;37;295.818.442.732.177;Intermedia;421.683.637.676.316;40-60 km;16602;16602;Baja
Municipio;28069;89,55;46,67;48;436.765.441.766.158;Muy baja;700.587.843.256.577;>60 km;16893;16893;Baja
Municipio;28070;86,25;53,62;44;947.281.171.954.134;Muy baja;688.686.517.734.267;>60 km;17763;17763;Media
Municipio;28071;83,95;58,82;38;461.278.479.894.101;Muy baja;706.418.929.384.033;>60 km;15223;15223;Baja
Municipio;28072;76,97;59,01;38;194.725.439.082.291;Baja;235.928.703.023.826;20-40 km;19583;19583;Media
Municipio;28073;71,78;52,39;44;100.783.126.942.909;Urbana;261.769.320.300.139;20-40 km;12552;12552;Muy baja
Municipio;28074;73,36;43,51;53;431.451.424.085.142;Urbana;16.257.288.585.235;0-20 km;14531;14531;Baja
Municipio;28075;75,9;55,88;41;20.165.442.533.744;Intermedia;253.844.948.039.912;20-40 km;14785;14785;Baja
Municipio;28076;81,42;54,87;42;104.272.098.934.383;Muy baja;556.221.586.034.354;40-60 km;17234;17234;Media
Municipio;28078;93,22;49,09;49;736.361.925.540.738;Muy baja;647.878.655.333.905;>60 km;16893;16893;Baja
Municipio;28079;73,39;53,78;43;54.277.556.936.308;Muy alta;0;0-20 km;19632;19632;Media
Municipio;28080;80,09;72,25;25;187.512.756.173.067;Urbana;168.449.160.938.942;0-20 km;24019;24019;Alta
Municipio;28082;75,7;49,05;48;728.589.054.732.773;Baja;35.161.391.576.781;20-40 km;17549;17549;Media
Municipio;28083;74,46;57,17;39;433.200.272.866.288;Intermedia;332.309.957.312.222;20-40 km;16076;16076;Baja
Municipio;28084;70,77;49,25;47;133.141.008.297.151;Urbana;201.267.632.308.212;20-40 km;13212;13212;Muy baja
Municipio;28085;76,07;55,08;41;118.882.100.984.526;Baja;374.435.902.807.767;20-40 km;16029;16029;Baja
Municipio;28086;67,19;58,78;37;187.944.922.879.328;Baja;281.667.667.742.691;20-40 km;13106;13106;Muy baja
Municipio;28087;78,95;62,77;34;245.021.994.667.929;Intermedia;439.412.521.369.622;40-60 km;16704;16704;Baja
Municipio;28088;72,93;38,86;58;115.490.167.709.259;Muy baja;712.751.493.096.814;>60 km;15317;15317;Baja
Municipio;28089;75,45;62,12;35;172.005.767.735.309;Baja;278.032.092.980.702;20-40 km;15002;15002;Baja
Municipio;28090;79,2;55,81;41;319.291.099.010.107;Intermedia;306.422.955.741.598;20-40 km;18091;18091;Media
Municipio;28091;68,88;53,72;43;175.630.125.514.506;Baja;334.943.483.939.189;20-40 km;12762;12762;Muy baja
Municipio;28092;72,43;48,99;48;465.013.327.575.567;Urbana;231.469.690.780.302;20-40 km;14045;14045;Baja
Municipio;28093;81,96;63,55;34;116.871.341.217.269;Baja;409.079.506.801.378;40-60 km;18244;18244;Media
Municipio;28094;73,06;50,38;45;129.175.616.630.403;Baja;390.790.945.369.434;20-40 km;14569;14569;Baja
Municipio;28095;71,59;57,61;39;370.690.694.264.633;Muy baja;36.866.744.012.375;20-40 km;12374;12374;Muy baja
Municipio;28096;73,26;59,53;37;310.974.313.942.569;Intermedia;333.506.545.040.976;20-40 km;14381;14381;Baja
Municipio;28097;79,72;40,35;52;484.318.532.963.201;Muy baja;600.148.222.581.657;>60 km;20421;20421;Media
Municipio;28099;76,89;65,87;31;620.011.268.867.835;Baja;495.912.020.588.879;40-60 km;12848;12848;Muy baja
Municipio;28100;73,74;55,74;40;335.987.969.810.486;Intermedia;389.115.509.966.435;20-40 km;15209;15209;Baja
Municipio;28101;80;53,3;44;227.369.735.432.821;Muy baja;429.736.920.459.637;40-60 km;19861;19861;Media
Municipio;28102;68,25;47,67;49;620.251.864.446.073;Baja;456.105.916.092.911;40-60 km;11961;11961;Muy baja
Municipio;28104;78,56;64,92;32;603.766.517.973.654;Intermedia;155.412.794.193.741;0-20 km;20187;20187;Media
Municipio;28106;67,18;44,52;52;522.493.962.740.486;Muy alta;267.424.106.791.381;20-40 km;11522;11522;Muy baja
Municipio;28107;74,12;43,58;53;152.764.976.252.283;Muy baja;496.554.422.578.001;40-60 km;16173;16173;Baja
Municipio;28108;74,25;56,08;40;220.923.160.778.156;Intermedia;312.772.702.016.984;20-40 km;16314;16314;Baja
Municipio;28109;70,55;62,91;34;378.765.476.023.218;Intermedia;548.489.036.201.772;40-60 km;11855;11855;Muy baja
Municipio;28110;75,69;52,77;45;632.046.184.814.041;Baja;394.507.302.256;20-40 km;12690;12690;Muy baja
Municipio;28111;79,06;54,7;42;223.220.294.212.955;Muy baja;444.372.079.691.414;40-60 km;14071;14071;Baja
